step,sec,dump
82,2.587,Nsync-grv=    577691 Nsync-hyd=    324719  :****************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXeeEEccCC999999HHHH[[[[yyyy++++"?00WF
83,0.412,Nsync-grv=     41912 Nsync-hyd=      9775  :::::rDE***********************************tttttttttttttxxxxxXXXXXXXXXXXXXXc99[+++++++++++++++++++++++++l""""oo??AA0K7--
84,3.914,Nsync-grv=   1007840 Nsync-hyd=    589450  :**************************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeeEccC99999999HHHHH[[[[yyyy+++??A0000TF
85,0.477,Nsync-grv=     41905 Nsync-hyd=      9803  ::::rrDE*******************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXc99[++++++++++++++++++++++++l"""oo??AA0kF--
86,2.803,Nsync-grv=    578070 Nsync-hyd=    324592  :********************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXdeEEccC999999HHHH[[yyy++++"?A0001F
87,0.420,Nsync-grv=     41839 Nsync-hyd=      9810  :::::rDE*********************************ttttttttttttttxxxxxxXXXXXXXXXXXXXXXE99[+++++++++++++++++++++++++l"""""o??A)01F-
88,3.908,Nsync-grv=   1108054 Nsync-hyd=    589359  r*****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEcC99999999HHHHH[[[yyyy+++o??A00001TF
89,0.474,Nsync-grv=     41836 Nsync-hyd=      9818  ::::rDd***************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9Hy+++++++++++++++++++++""""o??A)K7--
90,2.485,Nsync-grv=    578324 Nsync-hyd=    324310  :******************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXeeEEEcCCJ999999HHHHH[[[[yyyy+++++o?001F
91,0.445,Nsync-grv=     41944 Nsync-hyd=      9829  ::::rDde******************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXej9Hy+++++++++++++++++++++++++l""""o??A)KTF-
92,3.728,Nsync-grv=   1007753 Nsync-hyd=    588435  r*******************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXeeeEEccCC9999999999HHH[[yyy+++???A00001TF
93,0.414,Nsync-grv=     42070 Nsync-hyd=      9841  :::::rDE**********************************ttttttttttttttxxxxxxXXXXXXXXXXXXXXXe99[++++++++++++++++++++++++l""""o???A)K7--
94,2.461,Nsync-grv=    578513 Nsync-hyd=    324051  :*****************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeeEEC99999999HHH[[yyy+++++oA00KF
95,0.522,Nsync-grv=     42154 Nsync-hyd=      9857  :::rrrde***************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXC9Hy+++++++++++++++++++++l"""o??AAIKF----
96,4.438,Nsync-grv=   1468026 Nsync-hyd=    588383  r*****************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXeeEEccCJ9999999HHH[[[yyy+++???A0000T7
97,0.487,Nsync-grv=     42130 Nsync-hyd=      9842  ::::rDde**************************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXC9Hy++++++++++++++++++++++""""o??A)K7---
98,2.716,Nsync-grv=    578717 Nsync-hyd=    323808  :***********************************tttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXXBeeEcCC999999HHHH[[[yyyyy++++"?000KF
99,0.587,Nsync-grv=     42168 Nsync-hyd=      9836  :::rDE******************ttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeJ9[y++++++++++++++++++++++++"""o??A0kF---
100,4.322,Nsync-grv=   1007771 Nsync-hyd=    587466  r*****************************ttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEccCj9999999HHH[[[yyy+++"?A0000TF
101,0.430,Nsync-grv=     42098 Nsync-hyd=      9789  :::::rDE**********************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXcJ9Hy++++++++++++++++++++++l""""o???A)K1F-
102,2.539,Nsync-grv=    578943 Nsync-hyd=    323613  :******************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXeeeEcC999999HHHH[[[yyy+++++"?00KF
103,0.522,Nsync-grv=     42072 Nsync-hyd=      9780  ::::rDE**************************tttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXDJ9[+++++++++++++++++++++++""""o??AAKF--
104,3.730,Nsync-grv=   1108011 Nsync-hyd=    587426  :*******************************************ttttttttttttttttxxxxxXXXXXXXXXXXXXXXXeeeEECJ999999999HHH[[yyyy+++??A00000KT7
105,0.444,Nsync-grv=     42198 Nsync-hyd=      9787  ::::rrDe*******************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXE99Hy+++++++++++++++++++++++""""o??AA0kF--
106,2.705,Nsync-grv=    578774 Nsync-hyd=    323122  :***********************************ttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEcJ999999HHH[[[yyy++++oA0007
107,0.531,Nsync-grv=     42250 Nsync-hyd=      9793  ::::rDd************************ttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXeJ9[y+++++++++++++++++++++l"""o??A0KF--
108,4.170,Nsync-grv=   1007766 Nsync-hyd=    586542  r*******************************ttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeeECJ99999999HHH[[yyy+++??)00017
109,0.440,Nsync-grv=     42302 Nsync-hyd=      9778  ::::rrDDEe**********************************tttttttttttttxxxxXXXXXXXXXXXXe99[++++++++++++++++++++++++++l""""o??AAIKF----
110,2.452,Nsync-grv=    578682 Nsync-hyd=    322659  :e*******************************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXeeEEcC9999999HHHH[[[yyyy++++"?I0001F
111,0.412,Nsync-grv=     42333 Nsync-hyd=      9774  :::::rDE**************************************tttttttttttttxxxxXXXXXXXXXXXXE99[++++++++++++++++++++++++++""""oo??AA0KF--
112,4.260,Nsync-grv=   1297161 Nsync-hyd=    586563  r****************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXeeeEccC99999999HHHH[[[[yyyy++"??A00001TF
113,0.571,Nsync-grv=     42322 Nsync-hyd=      9779  ::::rrE***********************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXDJ9[++++++++++++++++++++++++"""oo?AA0kF----
114,2.598,Nsync-grv=    578329 Nsync-hyd=    322130  :***************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXheeEEccCJ999999HHHH[[[yyy++++"?00KF
115,0.484,Nsync-grv=     42348 Nsync-hyd=      9759  :::rrDE*****************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXdJ9Hy+++++++++++++++++++++++l"""o??AA0kF----
116,3.774,Nsync-grv=   1007778 Nsync-hyd=    585676  :*****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeEEccCC999999999HHHH[[yyy+++"??A00001TF
117,0.421,Nsync-grv=     42225 Nsync-hyd=      9715  ::::rrDe***********************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXXC9Hy+++++++++++++++++++++++l""""o??AA)K7--
118,2.701,Nsync-grv=    578141 Nsync-hyd=    321666  :E***********************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEECJ9999999HHH[[yyy+++++"?0001F
119,0.511,Nsync-grv=     42234 Nsync-hyd=      9703  :::rrDe***********************ttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXc9Hy++++++++++++++++++++++++""""o??A)KF--
120,4.057,Nsync-grv=   1107978 Nsync-hyd=    585694  r***************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXeeeEcC9999999HHHHH[[[[[[yyyy+++"?A000001T7
121,0.502,Nsync-grv=     42185 Nsync-hyd=      9681  ::::rDE***********************tttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXE9H[++++++++++++++++++++l"""o??A)K7--
122,2.627,Nsync-grv=    578140 Nsync-hyd=    321368  :e*************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXdeEEccCC999999HHHHH[[[[yyyy++++"?0001F
123,0.574,Nsync-grv=     42158 Nsync-hyd=      9656  :::rrDe******************ttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXC9[++++++++++++++++++++++++l"""o?AA0T---
124,4.079,Nsync-grv=   1007750 Nsync-hyd=    584780  r***********************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXXheeEEccCC9999999HHHH[[[yyyyy++o?A0001T7
125,0.422,Nsync-grv=     42217 Nsync-hyd=      9636  :::::rDE*********************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXe99[+++++++++++++++++++++++l""""o???A)K7--
126,2.530,Nsync-grv=    578102 Nsync-hyd=    320996  :e*****************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXeeeEC9999999HHHH[[[[yyy++++"?00001F
127,0.500,Nsync-grv=     42152 Nsync-hyd=      9606  ::::rrDE**************************ttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXeJ9[y++++++++++++++++++++++++""""o??AA01F---
128,4.384,Nsync-grv=   1600000 Nsync-hyd=    584779  r*******************************************tttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXBeeecJ99999999HH[[yyy++l??)001T7
129,0.425,Nsync-grv=     42238 Nsync-hyd=      9611  ::::rrde*******************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXE99y+++++++++++++++++++++++l""""o??AA0KTF--
130,2.546,Nsync-grv=    578301 Nsync-hyd=    320743  :*************************************ttttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXeeeEcJ999999HHHH[[[yyy++++o?00017
